condition,k,n_sentences,mean,std,sem,ci_lower,ci_upper
JABBERWOCKY,1,30,0.063238737937354,0.0,0.0,0.063238737937354,0.063238737937354
JABBERWOCKY,2,30,0.49374646219439455,0.07779066933867614,0.014202568120072801,0.4676045727636968,0.5230819727037488
JABBERWOCKY,4,30,0.43323666856134274,0.11832549482544273,0.021603180881285263,0.39082274385335647,0.47441546637355103
JABBERWOCKY,full,30,0.43323666856134274,0.11832549482544273,0.021603180881285263,0.39092014830588595,0.4747668096976728
FULL_SCRAMBLED,1,30,0.063238737937354,0.0,0.0,0.063238737937354,0.063238737937354
FULL_SCRAMBLED,2,30,0.2019297851722513,0.11041003292396837,0.02015802186911518,0.1636569249348637,0.2430426834168732
FULL_SCRAMBLED,4,30,0.16561479322735975,0.11483544050065236,0.02096598705441655,0.12730850998537482,0.20879991176638515
FULL_SCRAMBLED,full,30,0.18448689680347646,0.11424812414158692,0.020858758248332564,0.143960728168319,0.22587895634770877
FUNCTION_SCRAMBLED,1,30,0.063238737937354,0.0,0.0,0.063238737937354,0.063238737937354
FUNCTION_SCRAMBLED,2,30,0.18626621927784678,0.12317286798810051,0.022488186089896205,0.14509914759472547,0.23219850240879164
FUNCTION_SCRAMBLED,4,30,0.18796821952976947,0.1535290652400631,0.02803044408822162,0.13714608939839612,0.24627867958293484
FUNCTION_SCRAMBLED,full,30,0.19130569722413687,0.14469305565301682,0.026417216831835903,0.14115056646496058,0.24424981931524598
